company,price_rupiah,diameter,topping,variant,size,extra_sauce,extra_cheese
A,"Rp235,000",22,chicken,double_signature,jumbo,yes,yes
A,"Rp198,000",20,papperoni,double_signature,jumbo,yes,yes
A,"Rp120,000",16,mushrooms,double_signature,reguler,yes,yes
A,"Rp155,000",14,smoked beef,double_signature,reguler,yes,no
A,"Rp248,000",18,mozzarella,double_signature,jumbo,yes,no
A,"Rp140,000",18.5,black papper,american_favorite,jumbo,no,no
A,"Rp110,000",16,smoked beef,american_favorite,jumbo,no,yes
A,"Rp70,000",8,papperoni,american_favorite,reguler,no,no
A,"Rp90,000",12,mushrooms,american_favorite,reguler,yes,no
A,"Rp90,000",12,smoked beef,american_favorite,reguler,no,no
A,"Rp140,000",18.5,mozzarella,super_supreme,jumbo,no,no
A,"Rp110,000",16,black papper,super_supreme,jumbo,yes,yes
A,"Rp70,000",8,smoked beef,super_supreme,reguler,yes,yes
A,"Rp90,000",12,black papper,super_supreme,reguler,no,yes
A,"Rp90,000",12,mozzarella,super_supreme,reguler,no,yes
A,"Rp140,000",18.5,mozzarella,meat_lovers,jumbo,no,yes
A,"Rp110,000",16,smoked beef,meat_lovers,jumbo,no,yes
A,"Rp70,000",8,chicken,meat_lovers,reguler,yes,yes
A,"Rp90,000",12,mushrooms,meat_lovers,reguler,yes,yes
A,"Rp90,000",12,mozzarella,meat_lovers,reguler,yes,yes
A,"Rp230,000",22,chicken,double_mix,jumbo,yes,yes
A,"Rp188,000",18.5,mushrooms,double_mix,jumbo,yes,yes
A,"Rp114,000",14,chicken,double_mix,reguler,yes,yes
A,"Rp149,000",16.5,smoked beef,double_mix,reguler,yes,no
A,"Rp149,000",16.5,chicken,double_mix,reguler,yes,no
B,"Rp23,500",8.5,mozzarella,classic,small,yes,no
B,"Rp46,000",12,chicken,classic,medium,yes,no
B,"Rp72,000",14,smoked beef,classic,large,yes,no
B,"Rp49,000",12,mozzarella,crunchy,medium,no,no
B,"Rp83,000",17,chicken,new_york,XL,no,yes
B,"Rp96,000",12,chicken,double_decker,medium,no,yes
B,"Rp31,000",8.5,mushrooms,classic,small,yes,yes
B,"Rp69,000",12,chicken,classic,medium,no,yes
B,"Rp93,000",14,mushrooms,classic,large,no,yes
B,"Rp75,000",12,mushrooms,crunchy,medium,no,yes
B,"Rp115,000",17,mozzarella,new_york,XL,no,yes
B,"Rp123,000",12,smoked beef,double_decker,medium,yes,yes
