                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1013,                 1.7966,                 1.3366,                 0.4887,                0.54248,                0.48904,                0.29938,                 1.3252,                 1.6519,                 1.7455,             0.00047563,             0.00047563,             0.00047563
                      1,                 1.1743,                 1.4445,                 1.3803,                0.71524,                0.59988,                0.64587,                0.46278,                 1.0665,                  1.243,                 1.5042,             0.00087342,             0.00087342,             0.00087342
                      2,                  1.235,                  1.425,                 1.4783,                0.71373,                0.61451,                0.67887,                0.46203,                 1.1074,                 1.2116,                 1.5337,              0.0011926,              0.0011926,              0.0011926
                      3,                 1.1876,                  1.275,                 1.4443,                0.67508,                0.61083,                0.66168,                0.47477,                0.89721,                 1.0783,                 1.3687,              0.0010753,              0.0010753,              0.0010753
                      4,                 1.1369,                 1.1824,                 1.4034,                0.68617,                0.58613,                0.64441,                0.45934,                0.97048,                 1.0216,                 1.3879,              0.0010753,              0.0010753,              0.0010753
                      5,                  1.099,                 1.0895,                 1.3746,                0.69698,                0.64703,                0.68168,                0.53087,                0.79207,                0.86897,                 1.2453,             0.00095743,             0.00095743,             0.00095743
                      6,                 1.0661,                 1.0156,                 1.3485,                0.68845,                 0.7426,                0.76681,                0.56843,                0.79988,                0.82502,                 1.2544,             0.00083954,             0.00083954,             0.00083954
                      7,                 1.0303,                0.96576,                 1.3191,                0.81402,                0.68039,                0.76582,                0.58705,                 0.7063,                0.74552,                 1.1735,             0.00072164,             0.00072164,             0.00072164
                      8,                0.99711,                0.89141,                 1.2987,                0.66833,                0.76137,                0.77958,                0.63182,                0.69999,                0.72948,                 1.1572,             0.00060375,             0.00060375,             0.00060375
                      9,                0.96953,                0.84159,                 1.2735,                0.76612,                0.76383,                0.81255,                0.64611,                0.67202,                0.69282,                 1.1428,             0.00048586,             0.00048586,             0.00048586
                     10,                0.93871,                0.77864,                 1.2532,                0.77394,                0.75481,                0.82428,                0.67542,                0.60269,                0.65017,                 1.0878,             0.00036797,             0.00036797,             0.00036797
                     11,                0.91308,                0.74132,                 1.2375,                 0.8196,                0.74751,                0.82938,                0.66222,                0.62197,                0.63108,                 1.1031,             0.00025007,             0.00025007,             0.00025007
