Image Address,Fruit Type
data\Apple\Apple (1).jpeg,Apple
data\Apple\Apple (1).png,Apple
data\Apple\Apple (10).jpeg,Apple
data\Apple\Apple (10).png,Apple
data\Apple\Apple (100).jpeg,Apple
data\Apple\Apple (1000).jpeg,Apple
data\Apple\Apple (1001).jpeg,Apple
data\Apple\Apple (1002).jpeg,Apple
data\Apple\Apple (1003).jpeg,Apple
data\Apple\Apple (1004).jpeg,Apple
data\Apple\Apple (1005).jpeg,Apple
data\Apple\Apple (1006).jpeg,Apple
data\Apple\Apple (1007).jpeg,Apple
data\Apple\Apple (1008).jpeg,Apple
data\Apple\Apple (1009).jpeg,Apple
data\Apple\Apple (101).jpeg,Apple
data\Apple\Apple (1010).jpeg,Apple
data\Apple\Apple (1012).jpeg,Apple
data\Apple\Apple (1013).jpeg,Apple
data\Apple\Apple (1014).jpeg,Apple
data\Apple\Apple (1015).jpeg,Apple
data\Apple\Apple (1016).jpeg,Apple
data\Apple\Apple (1017).jpeg,Apple
data\Apple\Apple (1018).jpeg,Apple
data\Apple\Apple (1019).jpeg,Apple
data\Apple\Apple (102).jpeg,Apple
data\Apple\Apple (1020).jpeg,Apple
data\Apple\Apple (1021).jpeg,Apple
data\Apple\Apple (1022).jpeg,Apple
data\Apple\Apple (1023).jpeg,Apple
data\Apple\Apple (1024).jpeg,Apple
data\Apple\Apple (1025).jpeg,Apple
data\Apple\Apple (1026).jpeg,Apple
data\Apple\Apple (1027).jpeg,Apple
data\Apple\Apple (1028).jpeg,Apple
data\Apple\Apple (1029).jpeg,Apple
data\Apple\Apple (103).jpeg,Apple
data\Apple\Apple (1030).jpeg,Apple
data\Apple\Apple (1031).jpeg,Apple
data\Apple\Apple (1032).jpeg,Apple
data\Apple\Apple (1033).jpeg,Apple
data\Apple\Apple (1034).jpeg,Apple
data\Apple\Apple (1035).jpeg,Apple
data\Apple\Apple (1036).jpeg,Apple
data\Apple\Apple (1037).jpeg,Apple
data\Apple\Apple (1038).jpeg,Apple
data\Apple\Apple (1039).jpeg,Apple
data\Apple\Apple (104).jpeg,Apple
data\Apple\Apple (1040).jpeg,Apple
data\Apple\Apple (1041).jpeg,Apple
data\Apple\Apple (1042).jpeg,Apple
data\Apple\Apple (1043).jpeg,Apple
data\Apple\Apple (1044).jpeg,Apple
data\Apple\Apple (1045).jpeg,Apple
data\Apple\Apple (1046).jpeg,Apple
data\Apple\Apple (1047).jpeg,Apple
data\Apple\Apple (1048).jpeg,Apple
data\Apple\Apple (1049).jpeg,Apple
data\Apple\Apple (105).jpeg,Apple
data\Apple\Apple (1050).jpeg,Apple
data\Apple\Apple (1051).jpeg,Apple
data\Apple\Apple (1052).jpeg,Apple
data\Apple\Apple (1053).jpeg,Apple
data\Apple\Apple (1054).jpeg,Apple
data\Apple\Apple (1055).jpeg,Apple
data\Apple\Apple (1056).jpeg,Apple
data\Apple\Apple (1057).jpeg,Apple
data\Apple\Apple (1058).jpeg,Apple
data\Apple\Apple (1059).jpeg,Apple
data\Apple\Apple (106).jpeg,Apple
data\Apple\Apple (1060).jpeg,Apple
data\Apple\Apple (1061).jpeg,Apple
data\Apple\Apple (1062).jpeg,Apple
data\Apple\Apple (1063).jpeg,Apple
data\Apple\Apple (1064).jpeg,Apple
data\Apple\Apple (1065).jpeg,Apple
data\Apple\Apple (1066).jpeg,Apple
data\Apple\Apple (1067).jpeg,Apple
data\Apple\Apple (1068).jpeg,Apple
data\Apple\Apple (1069).jpeg,Apple
data\Apple\Apple (107).jpeg,Apple
data\Apple\Apple (1070).jpeg,Apple
data\Apple\Apple (1071).jpeg,Apple
data\Apple\Apple (1072).jpeg,Apple
data\Apple\Apple (1073).jpeg,Apple
data\Apple\Apple (1074).jpeg,Apple
data\Apple\Apple (1075).jpeg,Apple
data\Apple\Apple (1076).jpeg,Apple
data\Apple\Apple (1078).jpeg,Apple
data\Apple\Apple (1079).jpeg,Apple
data\Apple\Apple (108).jpeg,Apple
data\Apple\Apple (1080).jpeg,Apple
data\Apple\Apple (1081).jpeg,Apple
data\Apple\Apple (1082).jpeg,Apple
data\Apple\Apple (1083).jpeg,Apple
data\Apple\Apple (1084).jpeg,Apple
data\Apple\Apple (1085).jpeg,Apple
data\Apple\Apple (1086).jpeg,Apple
data\Apple\Apple (1087).jpeg,Apple
data\Apple\Apple (1088).jpeg,Apple
data\Apple\Apple (1089).jpeg,Apple
data\Apple\Apple (109).jpeg,Apple
data\Apple\Apple (1090).jpeg,Apple
data\Apple\Apple (1091).jpeg,Apple
data\Apple\Apple (1092).jpeg,Apple
data\Apple\Apple (1093).jpeg,Apple
data\Apple\Apple (1094).jpeg,Apple
data\Apple\Apple (1096).jpeg,Apple
data\Apple\Apple (1097).jpeg,Apple
data\Apple\Apple (1098).jpeg,Apple
data\Apple\Apple (1099).jpeg,Apple
data\Apple\Apple (11).jpeg,Apple
data\Apple\Apple (11).png,Apple
data\Apple\Apple (110).jpeg,Apple
data\Apple\Apple (1100).jpeg,Apple
data\Apple\Apple (1101).jpeg,Apple
data\Apple\Apple (1102).jpeg,Apple
data\Apple\Apple (1103).jpeg,Apple
data\Apple\Apple (1104).jpeg,Apple
data\Apple\Apple (1105).jpeg,Apple
data\Apple\Apple (1106).jpeg,Apple
data\Apple\Apple (1107).jpeg,Apple
data\Apple\Apple (1108).jpeg,Apple
data\Apple\Apple (1109).jpeg,Apple
